"TCGA_ID","NP_958782","NP_958785","NP_958786","NP_000436","NP_958781","NP_958780","NP_958783","NP_958784","NP_112598","NP_001611","NP_076965","NP_001367","NP_036222","NP_001138241","NP_001714","NP_002464","NP_001073936","NP_061198","NP_001074248","NP_001074419","NP_056009","NP_036355","NP_001155291","NP_002462","NP_000248","NP_036467","NP_004989","NP_001243024","NP_149043","NP_067047","NP_002461","NP_060003","NP_003793","NP_060004","NP_005954","NP_002463","NP_689914","NP_001242941","NP_060227","NP_055796","NP_065935","NP_008974","NP_001156806","NP_000251","NP_001242970","NP_001094891","NP_057323","NP_002465","NP_005955","NP_001035202","NP_001070654","NP_079005","NP_000250","NP_878918","NP_892006","NP_149062","NP_001138722","NP_003118","NP_001123910","NP_001182461","NP_001243000","NP_004406","NP_689916","NP_060124","NP_443141","NP_008835","NP_000375","NP_001447","NP_001157789","NP_001448","NP_001449","NP_001120959","NP_003119","NP_842565","NP_001020029","NP_008877","NP_000338","NP_066022","NP_001243415","NP_004478","NP_001243417","NP_005742","NP_671714","NP_005520","NP_004360","NP_476507","NP_065816","NP_006280","NP_055874","NP_113584","NP_612482","NP_006176","NP_006258","NP_055185","NP_001137485","NP_005045","NP_872394","NP_001019628","NP_872634","NP_005029"
"TCGA-AO-A12D",1.096131182,1.111370375,1.111370375,1.107560577,1.115180173,1.107560577,1.111370375,1.111370375,-1.517390359,0.482753678,0.261785384,0.924690265,-0.58018001,-0.012520084,-0.1877708,2.044770925,-0.065857258,-0.351592121,0.318932356,0.318932356,0.970407843,1.526638375,1.526638375,1.111370375,-0.507793845,0.08272487,0.53990065,2.101917898,0.802776723,1.18375654,-0.450646873,1.035174411,0.962788246,1.035174411,0.962788246,1.111370375,0.661814191,2.098108099,1.385675843,-0.911632451,1.111370375,0.570379035,-2.031713111,0.863733494,1.004696026,1.210425127,NA,-0.233488377,2.101917898,-0.229678579,-0.881154066,-0.884963864,-0.157292414,1.55711676,0.360840136,0.360840136,NA,-0.431597882,-0.446837075,-0.385880304,-0.534462433,0.478943879,2.254309824,0.787537531,-1.326900451,0.646574999,1.907618191,1.107560577,-0.454456671,-0.443027277,1.355197457,1.355197457,-0.980208818,-0.991638212,-2.496508487,1.850471219,-2.496508487,-0.081096451,2.239070632,2.216211843,2.204782448,0.170350228,0.197018815,0.444655696,-0.618277992,-0.728762139,1.118989971,0.943739255,-0.305874543,0.471324283,0.901831476,-0.8087679,0.254165788,0.802776723,-0.069667056,0.334171549,-0.012520084,0.12463265,0.086534668,1.019935219
"TCGA-C8-A131",2.609942977,2.650421787,2.650421787,2.646373906,2.646373906,2.646373906,2.650421787,2.650421787,3.909312755,-1.045293501,-0.03737115,1.39962658,-0.134520292,0.756013512,0.173118658,1.593924864,-0.875282502,-1.021006216,-0.438111362,-0.438111362,1.642499435,2.92567769,2.92567769,-0.616218123,1.391530818,2.524937478,2.18491548,0.513140656,1.294381675,-0.838851574,0.768157155,1.391530818,1.699169768,1.233663462,2.018952362,2.018952362,0.169070777,0.513140656,0.614337679,-0.725510908,2.018952362,-0.794324884,-1.276022714,0.343129657,1.933946862,2.585655692,NA,-2.178700161,0.513140656,-2.138221352,-2.878983562,-2.903270847,0.92197663,1.391530818,2.634230263,2.634230263,NA,0.088113159,0.084065278,0.104304682,-1.78200783,-1.611996831,-0.365249505,-0.846947336,3.148311141,-0.021179626,0.683151655,1.156753724,-1.045293501,-1.04124562,0.926024511,0.926024511,0.379560586,0.403847871,4.682458013,-0.624313885,4.682458013,-0.308579172,0.347177538,0.335033895,0.326938134,-1.033149858,-1.033149858,1.209376176,1.909659577,1.606068507,0.824827488,1.351052008,0.286459324,0.233836872,0.302650848,-1.12625112,0.403847871,1.164849486,0.31074661,0.270267801,0.294555086,0.432183038,0.047634349,0.666960132
"TCGA-AO-A12B",-0.659828047,-0.648742151,-0.654285099,-0.632113308,-0.64042773,-0.654285099,-0.648742151,-0.648742151,-0.618255939,1.222002715,1.019685122,-1.230751665,0.781338369,-1.092177972,-1.785046441,-1.266780826,-2.281140264,0.016411579,0.0884699,0.0884699,-0.906489222,-2.383684798,-2.383684798,-3.467331083,-2.799405879,-2.466829014,-2.641431868,-0.673685416,-1.943020452,-7.763115591,-2.480686384,-2.799405879,-2.480686384,-2.799405879,-2.480686384,-2.403085115,-1.721302542,-0.662599521,-0.260735809,0.116184638,-3.467331083,-1.097720919,0.559620458,-5.28818942,-2.968465786,-2.161966888,NA,-3.123668323,-0.687542786,-3.123668323,-1.965192243,-1.965192243,-2.732890506,-1.532842318,-1.308352934,-1.308352934,NA,-0.305079391,-0.288450548,-0.305079391,-1.189179557,-0.94806133,0.723137417,0.933769432,-1.52729937,-1.374868307,-2.450200171,-3.508903192,2.255762471,2.258533944,-1.859876235,-1.859876235,-0.634884782,-0.687542786,-0.870460062,-0.083361481,-0.870460062,-0.668142469,0.091241373,0.099555795,0.099555795,0.545763089,0.545763089,-1.543928213,-2.982323155,-3.26501349,-1.216894296,-0.995176386,-1.18363661,-1.93470603,1.022456596,0.947626801,0.035811896,-0.14710538,0.035811896,-0.063961164,0.030268948,0.0884699,1.208145345,-0.670913943
"TCGA-BH-A18Q",0.195340653,0.215412944,0.215412944,0.205376799,0.215412944,0.215412944,0.215412944,0.215412944,-1.035759872,-0.517225683,-0.724639359,-0.085671423,-0.306466626,0.737292515,2.04199144,1.028340736,1.868031583,-0.881872306,0.780782479,0.787473242,0.018035414,-0.758093177,-0.758093177,-3.865952926,-3.865952926,1.924903075,1.965047657,-0.821655433,2.098862932,1.101939137,-2.397330289,-1.567675588,-0.597514848,-1.567675588,-1.567675588,-1.340189621,0.185304507,-0.821655433,-1.41044264,-7.569290646,0.827617825,-1.383679585,-2.491000981,-1.624547079,-1.21306511,-0.895253834,NA,0.69380255,-0.821655433,0.673730259,0.258902908,0.268939054,0.031416942,0.071561524,0.610168004,0.606822622,NA,-0.734675504,-0.74471165,-0.78151085,0.958087717,-1.186302055,1.757633982,0.737292515,0.737292515,0.583404949,0.018035414,0.663694114,-2.534490945,-2.517764036,-1.467314132,-1.467314132,-0.346611208,-0.299775862,-4.193800348,-0.741366268,-4.193800348,0.733947133,-1.457277986,-1.443896459,-1.433860313,-0.965506853,-0.955470707,-1.06921369,0.074906906,0.165232216,0.365955128,0.573368803,-0.099052951,-0.717948595,0.078252288,-1.196338201,0.232139854,0.931324662,0.268939054,0.02807156,0.202031417,0.111706107,-0.54733412,-0.416864227
"TCGA-C8-A130",-0.494059581,-0.503899187,-0.500619319,-0.510458925,-0.503899187,-0.503899187,-0.500619319,-0.500619319,-1.845365554,-0.405503121,-0.703971188,-0.78596791,-0.917162665,-1.13363401,-0.520298532,0.109436291,-0.976200304,-1.517378667,-0.608854991,-0.621974467,0.847406786,0.555498456,0.555498456,-0.448141417,-0.510458925,-0.464540761,-0.225110334,0.230791439,-0.592455647,-0.14967335,-0.398943384,-0.126714268,-1.399303388,-0.448141417,-0.398943384,-0.398943384,-0.077516235,0.234071308,-0.349745351,0.345586849,-0.448141417,1.368905935,-2.583336049,-0.37926417,0.073357733,0.499740686,NA,-1.933922013,0.234071308,-1.94376162,-0.047997415,-0.041437677,0.447262784,0.122555766,-0.152953219,-0.156233088,NA,-0.546537483,-0.546537483,-0.546537483,-0.881084107,-1.517378667,-0.566216696,-1.24842942,-0.228390203,1.404984493,1.87728561,-0.156233088,-1.287787846,-1.304187191,0.184873275,0.184873275,-0.618694598,-0.608854991,-3.124514412,0.217671963,-3.124514412,-0.513738794,-0.362864826,-0.362864826,-0.366144695,-0.763008828,-0.759728959,0.361986193,0.729331506,0.729331506,0.181593406,-0.159512956,-0.29398758,0.755570457,0.004480487,2.205272496,0.345586849,2.185593283,0.381665407,0.3718258,0.3718258,0.381665407,0.699812687,-0.743329615
"TCGA-C8-A138",2.765080659,2.779709215,2.779709215,2.797994911,2.787023494,2.779709215,2.783366355,2.783366355,2.205538366,0.749996978,-0.156973535,1.507024786,-1.305315233,-0.504401755,-0.182573509,1.254682183,0.464740124,2.073881356,-0.387373302,-0.387373302,1.108396617,-0.054573638,-0.083830751,0.801196927,0.512282933,-0.080173612,0.739025561,1.327824967,-0.420287555,1.53262476,0.808511205,1.016968138,1.221767931,1.090110921,0.951139633,1.360739219,0.826796901,1.291253575,-0.603144513,-0.22280204,1.221767931,-2.409771261,-0.17891637,3.346565786,-0.453201807,0.278226026,NA,-1.66737201,1.346110662,-1.66737201,3.781765347,3.803708182,-0.288630545,2.216509784,0.892625406,0.746339839,NA,0.248968913,0.241654634,0.241654634,1.046225251,-0.22280204,0.856054014,-1.056629769,NA,-0.610458791,0.307483139,1.302224992,-0.504401755,-0.511716034,0.845082597,0.834111179,-1.875828942,-1.897771777,-3.302113217,4.472964649,-3.302113217,0.815825483,0.896282545,0.899939684,0.903596823,0.351368809,0.362340227,-0.028973664,0.325768835,0.285540304,0.413540175,0.091711929,0.52325435,1.075482364,0.592739994,0.12828332,0.011254867,-0.456858946,0.102683346,0.175826129,0.08439765,0.12828332,0.640282804,-0.358116189
"TCGA-E2-A154",0.862659263,0.870186035,0.870186035,0.866422649,0.870186035,0.870186035,0.870186035,0.870186035,1.920170648,2.34919662,1.581465934,0.064821492,0.395999435,-1.523327278,-2.343745363,0.418579749,-2.77653472,1.442220663,2.443281262,2.435754491,1.634153334,-0.789467064,-0.759359978,-0.883551707,-1.496983578,-0.665275336,-0.085713936,0.437396678,-0.830864307,-1.086774535,-0.748069821,0.125035664,0.237937235,-0.033026536,0.046004564,0.237937235,0.283097864,0.426106521,0.222883692,-1.278707207,0.531481321,-0.247539522,1.408350192,-5.298003147,-0.458289122,-3.126529591,NA,-0.627641479,0.426106521,-0.623878093,-2.415249692,-2.467937092,-1.177095793,-1.32010445,-1.165805635,-1.165805635,NA,1.028248235,1.054591935,1.073408863,-0.921185564,2.24382182,-0.194852122,-0.79323045,NA,-0.059370236,-0.510976521,0.053531335,2.435754491,2.435754491,1.235234449,1.291685235,0.92663682,0.907819892,-1.015270207,-0.394311564,-1.015270207,1.95404112,-1.090537921,-1.05666745,-1.094301307,0.369655735,0.369655735,0.700833678,2.078232848,2.142210405,0.064821492,0.339548649,2.48091512,1.385769877,-0.307753693,-1.116881621,0.109982121,1.156203349,0.18148645,-0.367967864,0.113745507,-0.431945422,1.995438363,-0.025499765
"TCGA-C8-A12L",1.407570262,1.407570262,1.410311827,1.407570262,1.413053392,1.407570262,1.410311827,1.413053392,3.195070488,-0.007077155,-0.023526544,0.878448263,-1.057096459,-0.026268109,-0.59103045,0.116293259,1.245817941,-1.402533619,-0.887119444,-0.884377879,-0.045459062,1.26226733,1.26226733,-0.363480574,-0.371705269,0.374000347,1.865411578,-1.758937039,-0.615704533,0.590583963,-0.155121652,-0.212694512,0.256113062,-0.155121652,-0.273008937,-0.155121652,-0.983074211,-1.761678603,-3.151651938,1.495300335,-0.155121652,0.659123082,1.906535049,0.127259518,0.79620132,-0.495075683,1.067616232,-2.521092043,-1.745229215,-2.534799866,-3.099562208,-3.099562208,1.273233589,-0.29768302,-0.656828004,-0.656828004,NA,-0.042717497,-0.048200627,-0.048200627,-1.010489858,1.158087869,-1.05161333,-0.396379352,0.554943621,-0.486850989,0.963436771,-0.593772014,-4.116682734,-4.105716475,-0.966624822,-0.950175434,-0.155121652,-0.135930699,-1.775386427,1.846220624,-1.775386427,0.149192036,-0.229143901,-0.229143901,-0.209952948,-0.903568833,-0.903568833,-1.386084231,-1.22433191,-1.331252936,0.316427487,-0.604738273,-1.188691568,0.626224305,-0.179795735,-0.168829476,-0.108515051,0.297236533,0.102585435,0.061461964,-0.023526544,0.138225777,-0.728108688,0.678314035
"TCGA-A2-A0EX",1.185108231,1.192611952,1.188860091,1.185108231,1.200115674,1.188860091,1.188860091,1.192611952,1.046289383,2.138080861,1.7328799,0.187113271,-0.687070283,0.093316753,0.734884941,1.151341484,0.273406069,1.725376178,1.035033801,1.046289383,3.58629911,0.138339082,0.138339082,1.515271976,1.759142925,0.239639322,1.372701268,2.828423238,0.588562372,-0.068013259,1.275152889,2.08180295,2.093058532,1.995510152,1.995510152,1.995510152,0.903718674,2.809663935,-1.707576407,0.070805588,2.468244607,0.175857689,-0.31938793,-0.27061374,-0.034246513,-0.476966081,-0.251854436,2.291907151,2.828423238,2.288155291,1.560294305,1.579053609,1.08005613,-0.255606297,1.271401028,1.271401028,NA,0.438487942,0.442239802,0.476006549,-1.87641014,-0.893422624,-0.619536789,-1.358653357,-0.814633548,-0.465710499,-0.908430067,2.006765735,-0.62328865,-0.627040511,2.708363695,2.708363695,0.521028878,0.509773296,-2.139040393,0.914974257,-2.139040393,1.290160332,-0.503229106,-0.518236549,-0.503229106,0.652344004,0.656095865,2.036780621,4.205356133,4.175341247,0.164602107,1.609068495,2.948482782,0.445991663,0.877455649,0.250894904,-0.184320943,0.359698866,-0.07176512,-0.161809778,-0.079268842,-0.143050474,-0.330643512,0.250894904
"TCGA-AO-A12D",1.100688066,1.100688066,1.100688066,1.100688066,1.093358353,1.09702321,1.09702321,1.09702321,-2.413909374,0.543629869,0.840483251,0.858807533,-0.698756504,-0.178346873,-0.273633143,1.961929358,-0.174682016,0.07452823,-0.006098614,0.012225668,0.598602718,1.181314911,1.181314911,0.488657021,0.364051898,0.067198517,-0.204000869,1.910621366,0.561954152,NA,-0.390908553,0.364051898,0.928439808,0.364051898,0.364051898,0.364051898,-0.035417467,1.910621366,0.323738476,0.85147782,0.943099234,-0.072066033,0.836818394,-1.977791443,0.829488681,-1.06524216,NA,-0.090390315,1.939940218,-0.116044311,-0.71341593,-0.73540507,-0.434886832,1.335238886,-0.163687447,0.06353366,NA,-0.464205684,-0.471535397,-0.449546258,-0.684097078,0.441013886,2.163496468,0.40436532,-1.365760398,0.547294726,1.335238886,0.792840115,-0.38357884,-0.376249127,1.060374644,1.038385505,-1.028593594,-1.079901586,-3.124891546,1.379217165,-3.124891546,-0.423892262,2.247788169,2.236793599,2.229463886,0.199133353,0.199133353,0.19180364,-0.757394209,-0.914983041,1.089693497,0.723207841,-0.475200254,0.52164073,0.869802103,-0.84168591,0.019555381,0.503316447,-0.072066033,0.147825361,-0.072066033,0.235781918,-0.123374024,1.115347492
